,,macro_f1,macro_f1,balanced_acc,balanced_acc,macro_f1_emergency,macro_f1_emergency,f1_LTE_5G,f1_LTE_5G,f1_NO_CHANNEL,f1_NO_CHANNEL
,,mean,std,mean,std,mean,std,mean,std,mean,std
system,p,,,,,,,,,,
LogReg,0.5,0.9195292897363716,0.01584283962855983,0.9222953526173012,0.02176909776808477,0.7253121339418712,0.06887246825316774,0.7599178730941403,0.06214200027009665,0.9368708703328925,0.030141144336274843
LogReg,0.75,0.8851022056079164,0.02270658509778669,0.8891410345583514,0.028175107375557343,0.6678304641217433,0.07028554079087933,0.6551080931431857,0.09333616153610465,0.8653224766780715,0.04975136316647883
MLP,0.0,0.9585277403083137,0.010119068966750702,0.9527239115094801,0.014305536619585463,0.8754242739530376,0.08191063717410489,0.870763144402417,0.04203258171306677,0.9968147794234751,0.005971757687291804
MLP,0.1,0.9507781550000198,0.00928081197814098,0.9453702528945503,0.012939102033783163,0.8644769981694975,0.08267930165346113,0.8479349703484064,0.04057075124465482,0.9924884146054285,0.010056443764103399
MLP,0.25,0.9375932233568354,0.007338637976736208,0.9323045165003082,0.012631371915562737,0.8309320378504534,0.06598848443302283,0.8058515559350914,0.03295263065306805,0.9772758103697544,0.00967560116648619
MLP,0.5,0.9116622550217386,0.009615644513776476,0.9063639315514923,0.01335787298062216,0.7715949088481181,0.07724630019231012,0.7265340083422541,0.046129532583259705,0.9409881827039849,0.027844132776449055
MLP,0.75,0.8572487244472774,0.016896056363136683,0.8441641720290165,0.02710188814134349,0.6234622987743773,0.09993499350602697,0.5965684002703977,0.07115566719327095,0.8204651950028662,0.08556035334713281
PolicyLOCF,0.0,1.0,0.0,1.0,0.0,0.9375,0.08625819491779424,1.0,0.0,1.0,0.0
PolicyLOCF,0.1,0.9165014238075201,0.007859128216599603,0.9611520374338539,0.003249343066524451,0.8625695336993434,0.08445212799706767,0.9278554714153976,0.016268391201996957,0.722387134259306,0.04382445034665658
PolicyLOCF,0.25,0.8245458930525515,0.010426916034062969,0.9091677008681135,0.006423527041488788,0.7642151688938809,0.03824136548033537,0.850865576692883,0.03458534243298615,0.4422655794816131,0.054064975290028336
PolicyLOCF,0.5,0.7013584996274,0.007977092755837056,0.8088081204714903,0.007219228741386241,0.6123070608995372,0.03633185956746853,0.7221049943947662,0.02692104898758097,0.21390941790489038,0.03636046519804988
PolicyLOCF,0.75,0.5323944938892202,0.015768144833416032,0.6308714671742905,0.020309342545591882,0.4539329174516891,0.04777405030764438,0.5151495767612183,0.05380137254327897,0.09046775276172243,0.017067507857603397
RUSBoost,0.0,0.8912037791618826,0.03223850509663141,0.9123408947207913,0.0337576336811009,0.7933977154414562,0.11448873305394038,0.7341350033693207,0.09110327125667882,0.9564741124555177,0.026966640409334934
